handle,text
Oprah,"Earlier this summer I sat down with @MitchLandrieu, the former Mayor of New Orleans, who took down Confederate monuments, confronting his own personal history and our country’s. He’s authentic and leads from the soul. Our full conversation airs on my Facebook tomorrow at 11am ET.pic.twitter.com/q6gvHfK163"
Oprah,"Hey @ava  u know it’s a great show when the next day you’re still thinking about the characters. Ra,Nova, Charley still with me.#QueenSugar"
Oprah,"“When I’ve seen Vietnamese characters in Hollywood, they’re defined and centralized around the Vietnam War, a victim. What’s refreshing about this storyline is that it’s a normal family living their lives.” I’m proud of this. This matters. #QueenSugar https://www.pri.org/stories/2018-07-25/yes-they-came-refugees-queen-sugar-family-vietnam-gets-be-so-much-more …"
Oprah,"Best season yet. Thanks for hanging in there, #Greenleaf fans.  Worth the wait. We’re back August 28 & 29.pic.twitter.com/UrTD1rK2Sp"
Oprah,LoVE IS __happening on @OWNTV! #LOVEis
Oprah,JusT saw #Whitney. Great job @LisaErspamer and Kevin MacDonald and team. Footage we’ve NEVER seen. Fearless doc.pic.twitter.com/CLmlsl4Ehf
Oprah,"Thanks  @BritishVogue @edwardenninful @mertalas @macpiggott. for the regal experience,felt like an “Empress 4 a day!pic.twitter.com/fjd1pyjNyA"
Oprah,We’re Live on Facebook! Join us now.
Oprah,See ya from my porch in 15 minutes. LIVE FB #TheSunDoesShine
Oprah,Love this book and the author. Join me FBLive from my with your insights and questions 6pm eastern.pic.twitter.com/qBqqW66qiV
Oprah,I do so LOVE me some  #QueenSugar  Thank u forever @ava
Oprah,"After 30 years of being on death row for a crime he did NOT do, Anthony Ray Hinton is ready to enjoy life. He and best friend Lester who never missed a visit in 30 yrs join us for FB Live. Thursday, TOMORROW - 6pm eastern. #TheSunDoesShinepic.twitter.com/c9vQrJClHn"
Oprah,#LOVEis the permission to design your own relationship. All new episode of Love Is___ TONIGHT! Grab your Yasir or your Nuri and watch with us. pic.twitter.com/ZM8lVlbPPl
Oprah,#LOVEis happening now on @OWNTV
Oprah,TONIGHT! 10/9c on OWN. See ya there!  #LOVEispic.twitter.com/HhuRJgw1JN
Oprah,Maria has been my friend since we were both young reporters in Baltimore. Her wisdom and open heart is what the world needs more of right now. My #SuperSoul conversation with @MariaShriver airs on my Facebook tomorrow at 11am EST.pic.twitter.com/EPvQyakXMY
Oprah,Feeling the love from you all for our new show. Thanks for showing up here and spreading the word. OWNers you Rock! #LOVEis
Oprah,"Yes regular time slot, after Haves. 10pm #LOVEis"
Oprah,Remember collect calls y’all?“Heard you walkin around town in your drawers” made me#LoveIs
Oprah,Thanks for being a part of the TREND y’all! #LOVEis
Oprah,Here we go @LoveIsOWN ! Happy to be tweet-resting with you ! #LoveIs
Oprah,"Are You ready for #LoveIs   on @OWNTV  who is watching with us  TWEET, TWEET right @Oprah  #OwnTVRockspic.twitter.com/i2TYYuKZ47"
Oprah,"Iconic 90s love songs, chosen by @Oprah. 
Listen to the playlist inspired by the new series #LOVEis, premiering tonight on @OWNTV. 
Listen here:  http://apple.co/OPRAH pic.twitter.com/k9uda0H0ge"
Oprah,Everyone needs a little love right now. #LOVEis series premiere TONIGHT 10/9c on OWN.pic.twitter.com/4EPIUMCCwi
Oprah,Here we go @CBSThisMorning! Eye-opener.
Oprah,"On vacay.. Up to watch @CBSThisMorning.  @GayleKing @DavidBegnaud, @cbsmireya LIVE from Texas!"
Oprah,"Babies torn from their parents.
Can’t stand it! Will be watching
@GayleKing and her colleaques LiVE from Texas. @CBSThisMorning 7am"
Oprah,"Father of three, Tom Brady is on an all NEW @SuperSoulSunday today at 11am. Tune-in and tweet, tweet! #HappyFathersDay"
Oprah,"Knew I liked this guy! Much more to Tom Brady than football—so impressed by his work ethic and commitment to family. Watch on @OWNTV or my Facebook page tomorrow, 11am ET. #SuperSoulpic.twitter.com/Bz88lHvuwj"
Oprah,Who loves 90s music?!  Our new show @LoveIsOWN premieres in 1 WEEK! It’s set in the 90s so let’s get in the mood! Here’s my very own playlist...some of my favorite LOVE songs of the decade. Listen now on @Spotify. #LOVEis https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX877dWiRsWwj?si=_jccvJShTFKKJoXxK7SEIQ …
Oprah,"One of the most incredible men I’ve ever met. Today on the #SuperSoul podcast, Anthony Ray Hinton’s gripping story. For more, pick up his memoir—my latest Book Club selection, ‘The Sun Does Shine’.pic.twitter.com/T8S7jEIf3S"
Oprah,"Great to hear from all u guys @MalikaGhosh ,@3LWTV ,@RichOnOWN ,@AshBenton ,@kenlikebarbie ! Don’t we Mr. Hinton.
#TheSunDoesShine"
Oprah,Hope u can join me on Facebook or OWN.. in half hr. And meet this remarkable man.pic.twitter.com/cOxPEMLXfd
Oprah,"SuperSoulers, this man is incredible. You’ll see why after this interview. Anthony Ray Hinton, author of my new Book Club pick ‘The Sun Does Shine’ is on @SuperSoulSunday tomorrow. Watch on OWN or my Facebook page.pic.twitter.com/9dmEh1dzDF"
Oprah,Seeing everything under one roof brought tears to my eyes. Thanks Lonnie Bunch for giving @GayleKing and I a sneak peek of “Watching Oprah.” It’s surreal. Exhibit is open tomorrow. https://www.cbsnews.com/news/watch-oprah-winfreys-emotional-first-look-at-new-smithsonian-exhibit/ …
Oprah,Wednesday…favorite night of the week! Who’s ready for new #QUEENSUGAR tonight???pic.twitter.com/OhNnnjnNpy
Oprah,"COMING UP: @Oprah and @GayleKing will be live on our Facebook page at 10:15a with the author of her latest book club pick. 

 http://Facebook.com/CBSThisMorning pic.twitter.com/LIb4chW07W"
Oprah,Going LIVE on Facebook with Gayle and a man you need to know.. Anthony Ray Hinton.. join us at 10:15  http://Facebook.com/CBSThisMorning 
Oprah,"Book Club friends, I’m SO passionate about my next pick. The Sun Does Shine by Anthony Ray Hinton. This unimaginable memoir is Anthony’s story of being falsely convicted and released from death row after 30 YEARS! Hope you’ll get a copy today.  http://amazon.com/oprahsbookclub pic.twitter.com/OM5Jma9zJH"
Oprah,"Grammy-Award winning musician, author, philanthropist and “techie”…@iamwill is keeping busy! See what Will’s been up to—our conversation airs on my FB page TOMORROW at 11am. Or, listen anytime with the #SuperSoul Podcast.pic.twitter.com/ZVRIVWskE3"
Oprah,"Alright Sugar fans, how are you holding up after last night? Double dose of #QUEENSUGAR continues tonight, 10|9c. Feels so good to have our ‘Queen Sugar Wednesdays’ back!pic.twitter.com/VuXyTlqejZ"
Oprah,Don’t change Nothin’ #QueenSugarpic.twitter.com/DAm6Cz3Upz
Oprah,Results? #QueenSugar
Oprah,Same officer.. that’s for sure! #queensugar
Oprah,Come on y’all..#GimmeSugar #SugarTime #QUEENSUGAR  season 3!!! 
Oprah,Counting down the hours for new #QUEENSUGAR! Who’s watching with me and @Ava? 
Oprah,"I see you…I KNOW you’re ready, Sweeties! #QUEENSUGAR two-night season premiere event starts this Tuesday, May 29 at 10/9c on @OWNTV. I can hardly wait to see what you all think. Tweet, tweet.pic.twitter.com/V7wkjxyICg"
Oprah,"Nothing else like it on TV. A new romantic series comes to OWN, June 19. Drum roll, please…here’s your first look at #LoveIspic.twitter.com/9LUR0vjPYi"
Oprah,"The Bordelons aren’t playing games! Getting close, Sweeties…only two weeks until the two-night season premiere of #QUEENSUGAR May 29 & 30.pic.twitter.com/fj24HjveTx"
Oprah,"What’s the #1reason we often repeat our mistakes? @DrPhil is a master at understanding human behavior and helping us course-correct. Need a little life enhancement? Watch our @SuperSoul conversation on my FB page tomorrow, 11am ET.pic.twitter.com/3xivnQQNYA"
Oprah,"We’re baaack! #WrinkleInTime is in theaters again this weekend. Moms and kids, experience the magic together. #HappyMothersDaypic.twitter.com/IC7oQOZ23B"
Oprah,"I have ALWAYS wanted to work with @MaraBrockAkil & @TheSalimAkil and it’s finally happening! Who didn’t love Girlfriends and Being Mary Jane?! Let me be the first to tell you, you are going to fall in love with LOVE IS ___. Our brand-new series coming to OWN this June. #LoveIspic.twitter.com/5omCbtXpmc"
Oprah,"Come on, @AmySchumer!  You can catch our conversation on my Facebook page tomorrow.pic.twitter.com/COqV0iin2z"
Oprah,We both knew it just had to happen one day. And it finally did. Our first Hellooooo! Go see #IFeelPretty on Friday. Then join us on Facebook THIS Sunday 11a/10c to watch our conversation OR listen to it on the SuperSoul Podcast this Monday.pic.twitter.com/Q1LGyGbsvA
Oprah,"A legacy worth fighting for. Season 3 is almost here, sweeties! #QUEENSUGARpic.twitter.com/KwB3Z3JUjB"
Oprah,I read every article. This issue remarkable.Great job.  @NatGeopic.twitter.com/AY8Ims8AhH
Oprah,America's history with lynching is disturbing and shocking. @Oprah takes us on a tour of a new memorial covering 70 years of horror https://www.cbsnews.com/news/inside-the-memorial-to-victims-of-lynching-60-minutes-oprah-winfrey/ …
Oprah,"Tonight on @60minutes, we go inside The National Memorial for Peace and Justice. 805 steel markers, each bearing the names of the thousands of victims of lynching. Thank you Bryan Stevenson and @eji_org for this first look.pic.twitter.com/fpjZcAV4Vk"
Oprah,"We could listen to you all day, @Lin_Manuel! Hamilton fans, gather ‘round—our #SuperSoul conversation streams on my Facebook page TOMORROW, 11a/10c.pic.twitter.com/ds3RmqiPI2"
Oprah,A Lot ain’t addin’ up! #FixMyLife
Oprah,"Let’s just say it @IyanlaVanzant is a mighty, mighty Healer! #FixMyLife"
Oprah,This right here requires some serious healing and fixin’...getting ready for #FixMyLife tonight 9/8c.pic.twitter.com/JPiMgqhEkO
Oprah,On tonight’s @latelateshow we have @Oprah @RWitherspoon and @mindykaling CBS 12.30 x
Oprah,We all have the power to change someone’s life through our relationships.  I’m really hoping anybody who works with children or has personally experienced trauma will watch tonight’s @60Minutes.pic.twitter.com/8eE1qRLX1A
Oprah,This is one of the most life changing stories I’ve ever done. I hope it starts a Revolution in helping people. Watch this Sunday @60Minutes.pic.twitter.com/7gfCYwShLI
Oprah,Finally! Today’s the day. Are you taking the child in you or bringing a child to see #WrinkleInTime? #DoBothpic.twitter.com/Sn5nxk0zP7
Oprah,"Thanks Google NYC for the special day with these STRONG, SMART, and BOLD girls from @girlsincnyc. Women warriors in the making! Perfect way to spend #InternationalWomensDay #WrinkleInTimepic.twitter.com/kHrXTdFtgt"
Oprah,With my warrior women at the #WrinkleInTime @O_Magazine Premiere. 2 days!pic.twitter.com/xIGTsfGapv
Oprah,So happy and proud for you @JordanPeele ! Thanks again for the great convo.#Oscars90
Oprah,"Jordan, I’m so proud of you and what you’ve done to build EMPATHY by using story as a “weapon for change.” We’re all rooting for you tonight! Watch my SuperSoul Conversations with Jordan, Trevor, and Salma TODAY 11am EST, streaming on my Facebook page.pic.twitter.com/UepUahM4Hr"
